iter	Passed	Remaining
577	883	644
578	884	642
579	885	640
580	885	638
581	886	636
582	887	634
583	888	632
584	889	630
585	890	629
586	892	628
587	894	626
588	895	624
589	896	622
590	897	620
591	898	619
592	899	617
593	900	615
594	901	613
595	902	611
596	902	609
597	905	608
598	907	607
599	909	606
600	910	604
601	911	602
602	912	600
603	913	598
604	914	596
605	915	595
606	915	593
607	916	591
608	917	589
609	918	587
610	919	585
611	921	584
612	923	583
613	924	581
614	926	579
615	927	578
616	928	576
617	929	574
618	930	572
619	931	571
620	934	570
621	936	568
622	938	567
623	939	565
624	940	564
625	941	562
626	942	560
627	943	559
628	945	557
629	945	555
630	947	554
631	950	553
632	952	552
633	954	550
634	955	549
635	956	547
636	957	545
637	958	543
638	959	541
639	961	540
640	964	540
641	965	538
642	967	536
643	968	535
644	969	533
645	970	532
646	972	530
647	973	528
648	973	526
649	976	525
650	979	524
651	980	523
652	981	521
653	982	519
654	983	518
655	984	516
656	986	514
657	987	513
658	989	512
659	991	510
660	992	509
661	993	507
662	994	505
663	996	504
664	997	502
665	998	500
666	999	498
667	999	496
668	1001	495
669	1003	494
670	1004	492
671	1006	491
672	1007	489
673	1008	487
674	1009	486
675	1010	484
676	1011	482
677	1012	480
678	1013	478
679	1013	477
680	1015	475
681	1018	474
682	1019	473
683	1020	471
684	1022	469
685	1022	468
686	1023	466
687	1024	464
688	1025	462
689	1026	461
690	1027	459
691	1028	457
692	1031	456
693	1032	455
694	1033	453
695	1034	451
696	1034	449
697	1035	448
698	1036	446
699	1037	444
700	1038	442
701	1039	441
702	1039	439
703	1040	437
704	1041	435
705	1042	434
706	1043	432
707	1045	431
708	1046	429
709	1047	427
710	1047	425
711	1048	424
712	1049	422
713	1050	420
714	1051	419
715	1052	417
716	1053	415
717	1054	414
718	1055	412
719	1057	411
720	1058	409
721	1059	407
722	1060	406
723	1061	404
724	1061	402
725	1062	401
726	1063	399
727	1063	397
728	1064	395
729	1065	394
730	1066	392
731	1067	390
732	1068	389
733	1068	387
734	1069	385
735	1071	384
736	1072	382
737	1073	381
738	1074	379
739	1075	377
740	1075	376
741	1076	374
742	1077	372
743	1078	370
744	1079	369
745	1080	367
746	1080	366
747	1081	364
748	1082	362
749	1083	361
750	1084	359
751	1086	358
752	1087	356
753	1088	355
754	1089	353
755	1089	351
756	1090	350
757	1091	348
758	1092	346
759	1093	345
760	1093	343
761	1094	341
762	1095	340
763	1096	338
764	1096	336
765	1097	335
766	1099	334
767	1101	332
768	1102	331
769	1103	329
770	1104	327
771	1105	326
772	1106	324
773	1107	323
774	1108	321
775	1109	320
776	1109	318
777	1110	316
778	1111	315
779	1112	313
780	1114	312
781	1115	310
782	1116	309
783	1117	307
784	1118	306
785	1119	304
786	1120	303
787	1120	301
788	1121	299
789	1122	298
790	1123	296
791	1124	295
792	1125	293
793	1126	292
794	1127	290
795	1129	289
796	1130	287
797	1131	286
798	1132	284
799	1132	283
800	1133	281
801	1134	280
802	1135	278
803	1136	277
804	1137	275
805	1138	273
806	1138	272
807	1139	270
808	1140	269
809	1141	267
810	1143	266
811	1144	265
812	1145	263
813	1146	261
814	1146	260
815	1147	258
816	1148	257
817	1149	255
818	1150	254
819	1151	252
820	1152	251
821	1153	249
822	1153	248
823	1154	246
824	1155	245
825	1157	243
826	1158	242
827	1159	240
828	1160	239
829	1160	237
830	1161	236
831	1162	234
832	1163	233
833	1164	231
834	1165	230
835	1165	228
836	1166	227
837	1168	225
838	1169	224
839	1170	222
840	1172	221
841	1173	220
842	1174	218
843	1175	217
844	1176	215
845	1176	214
846	1177	212
847	1178	211
848	1179	209
849	1180	208
850	1180	206
851	1181	205
852	1182	203
853	1183	202
854	1185	201
855	1186	199
856	1187	198
857	1189	196
858	1190	195
859	1191	193
860	1191	192
861	1192	190
862	1193	189
863	1194	187
864	1194	186
865	1195	185
866	1196	183
867	1197	182
868	1199	180
869	1200	179
870	1201	177
871	1202	176
872	1203	175
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1206	167
878	1207	166
879	1208	164
880	1209	163
881	1209	161
882	1210	160
883	1211	159
884	1213	157
885	1214	156
886	1215	154
887	1216	153
888	1217	151
889	1218	150
890	1219	149
891	1220	147
892	1220	146
893	1221	144
894	1222	143
895	1223	141
896	1223	140
897	1224	139
898	1225	137
899	1226	136
900	1228	134
901	1229	133
902	1230	132
903	1231	130
904	1231	129
905	1232	127
906	1233	126
907	1234	125
908	1234	123
909	1235	122
910	1236	120
911	1237	119
912	1238	117
913	1239	116
914	1239	115
915	1241	113
916	1242	112
917	1243	111
918	1244	109
919	1244	108
920	1245	106
921	1246	105
922	1247	104
923	1248	102
924	1248	101
925	1249	99
926	1250	98
927	1251	97
928	1251	95
929	1252	94
930	1253	92
931	1254	91
932	1255	90
933	1257	88
934	1258	87
935	1259	86
936	1260	84
937	1260	83
938	1261	81
939	1262	80
940	1263	79
941	1264	77
942	1264	76
943	1265	75
944	1266	73
945	1267	72
946	1267	70
947	1269	69
948	1270	68
949	1272	66
950	1273	65
951	1274	64
952	1275	62
953	1276	61
954	1277	60
955	1277	58
956	1278	57
957	1279	56
958	1280	54
959	1280	53
960	1281	52
961	1282	50
962	1284	49
963	1285	48
964	1286	46
965	1287	45
966	1288	43
967	1289	42
968	1290	41
969	1290	39
970	1291	38
971	1292	37
972	1293	35
973	1293	34
974	1294	33
975	1295	31
976	1296	30
977	1297	29
978	1299	27
979	1300	26
980	1301	25
981	1302	23
982	1303	22
983	1303	21
984	1304	19
985	1305	18
986	1306	17
987	1307	15
988	1307	14
989	1308	13
990	1309	11
991	1310	10
992	1310	9
993	1312	7
994	1313	6
995	1315	5
996	1316	3
997	1317	2
998	1317	1
999	1318	0
